Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
resolutebot,2150.85,2214,1046,4,19328574,7145125
torombot,2115.35,2198,699,1,17926853,6211526
nikitosikbot,2146.15,2166,1002,2,26082786,3999321
yobot_v2,2104.8,2166,1416,-1,26816783,6386132
thematrix2025,2135.83,2136,97,5,2361085,406459
shineshou90_bot,2100.89,2119,570,1,6850480,1035087
raspfish,2072.17,2077,862,5,21890954,4227983
mrchessthebot,1816.43,1837,387,-7,5255871,632263
cheng-4,1732.91,1827,1115,-6,20531486,3185812
openingsbot,1793.45,1798,722,6,1467842,14604
clueless-bot,1519.02,1707,628,-14,4270519,553790
fataliibot,1413.42,1531,4225,3,11495393,211901
pawnrobot,869.45,1284,510,13,2542961,971
demolito_l5,1086.66,1272,282,32,1504864,825
dummyette,1086.97,1256,806,-40,4050833,3799
demolito_l6,1111.76,1241,110,6,808278,1526
bottideeval,963.23,1106,37,-18,63674,0
