Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
caissa-ai,3066.2,3105,2222,-22,12853645,4734334
proteussf-turbo,3001.07,3003,2710,3,3183887,211811
proteussf-lite,3001.71,3001,883,2,2562746,246645
proteussf,3000.49,3000,588,4,2101929,152702
mate-ai,2870.69,2921,3434,-7,7056126,1789079
torbot,2881.89,2920,1259,-4,2820437,487075
pangubot,2870.34,2905,1295,1,2724170,539198
nikitosikbot,2887.08,2903,10666,-3,25919817,3887003
yobot_v2,2868.52,2897,18051,-2,26591803,6355033
chessbot2880,2862.23,2895,319,7,1541050,263526
reinforcementtrial,2870.31,2895,5731,2,10246662,1230481
torombot,2881.4,2894,2054,-1,17773797,6171252
ultimatel,2861.58,2894,382,-6,1144639,286632
arasanx,2869.5,2888,5817,4,9258803,671060
raspfish,2828.47,2887,6344,6,21700653,4196731
thematrix2029,2860.46,2881,885,1,2128498,526073
botgravity,2879.24,2880,158,9,842243,203374
shineshou90_bot,2852.03,2878,2906,12,6689595,1008711
etabetaita,2866.24,2878,733,-2,1080554,369066
md211bot,2864.04,2873,753,6,1914401,346869
resolutebot,2847.9,2865,5625,-3,19181636,7122772
juroj,2833.88,2858,3471,8,28169273,1834773
ttbot,2853.78,2858,122,8,669822,57461
chessfybot,2845.74,2853,250,-7,672088,186822
mrchessthebot,2808.48,2842,2281,1,5209683,628008
blundar_bot,2803.35,2827,1945,11,3938753,422853
chessvbot,2797.31,2816,108,-13,387675,12976
abcbot,2756.4,2758,464,2,3875052,208179
hulkbot,1666.48,2676,469,-32,1732353,72565
aks-mantissa,2622.21,2675,4278,7,16588255,1548067
expositor,2605.8,2654,4907,1,18256359,1695076
lazybot,2598.89,2622,743,-23,2199657,370042
boris-trapsky,2242.77,2590,27976,25,71461000,7772644
misteick_bot,2475.65,2584,1061,6,9245320,325476
weiawaga,2533.04,2566,10631,-2,41835113,4619962
pawn_git,2554.81,2559,1302,24,4704446,269557
cheng-4,2455.76,2541,3288,8,20453291,3181773
elo_1500,2413.92,2513,3116,13,8719736,267288
bot_adario,2486.5,2489,1388,-3,3079229,386732
odonata-bot,2390.21,2451,4163,-9,9337214,709456
admete_bot,2364.52,2443,4456,-17,7029526,297664
simpleeval,2278.39,2436,7758,-20,33039554,3330581
fornax-engine,2339.07,2421,3929,28,9671792,1002206
phalanx-xxv,2373.54,2419,926,-17,4525468,851024
leorikbot,2303.63,2417,335,0,1000466,48162
chessnoobcomp,2368.44,2416,639,1,3977342,1249297
pseudo-0,2363.25,2400,1157,-4,5415859,748203
garbobot,2089.09,2370,6294,0,15442043,2054894
humanian,2340.89,2340,1342,15,6993808,342141
simplereval,2249.18,2338,2015,-4,7808607,398283
fataliibot,2271.56,2335,2994,4,11381795,210750
honzovy-sachy-2,2201.04,2325,3840,1,12944096,1169866
eubos,2215.63,2319,4511,0,17013591,1875535
leelalevel5,1825.51,2289,2001,-1,11110965,45003
lunachessengine,2250.7,2271,1171,7,5761071,24493
maxthedog,2059.61,2256,707,10,6745526,91300
halcyonbot,2251.83,2255,6867,9,16546054,176229
jangine,2089.12,2230,1829,20,5080788,99487
historyexplorer,2150.91,2225,1096,-4,2678248,45688
elmichess,2163.56,2208,1572,11,8343830,2076644
leelarogue,1957.17,2142,2569,-14,6473801,302096
bcbchess,2136.87,2136,354,64,1133593,8759
nc3nc6bot,1985.94,2129,1699,4,4303515,19375
waspbot,2032.61,2110,115,-31,475673,7488
blank_bot,1981.99,2097,1709,-7,6260295,173429
theoden8_uci,1960.55,2094,1252,-22,5728378,92796
humaia-strong,2043.99,2092,668,-30,2898890,31495
sargon-4ply,1563.61,2082,667,9,2025768,16570
lazybotjr,1974.33,2070,1342,-29,1449036,64741
zeekat,1939.38,2062,8653,-16,33501564,376262
bot_elvisthecat,2038.76,2050,319,-8,971225,7247
maia9,1737.96,2022,85757,-11,258960012,9096697
chess-2-bot,1969.89,2020,1030,15,3631603,38213
honzovy-sachy,1783.14,2017,1017,45,5856241,363320
wolftacticsv1,2013.74,2013,25,33,85442,0
virutor,1795.94,1993,3452,-10,11180416,777535
baby_eubos,1937.55,1967,981,-12,6002192,33819
chesschildren,1760.71,1967,4690,14,23333003,2372473
kasabot,1933.74,1947,272,24,2109176,5517
melsh_bot,1717.48,1919,258,-23,2326472,8129
notropis,1852.32,1906,2472,32,0,0
kireevi,1120.2,1903,571,41,883755,6359
yeoldwiz,1637.53,1876,667,16,2157231,18951
maia5,1625.08,1860,103466,25,290086179,3777868
turkjs,1672.34,1835,5781,-3,20952393,2194914
zulu_bot,1776.94,1818,123,3,867246,956
ashnostromo,1747.1,1792,1403,-8,2253374,10634
jibbby,1711.41,1791,1947,-8,7064683,39346
knightlesskid,1752.41,1781,99,25,317876,485
maia1,1476.11,1779,236302,3,570242122,2963068
turochamp-2ply,1501.56,1758,1227,-5,2462721,14950
roundmoundofrebounds,1460.51,1746,382,24,2081596,391
sargon-3ply,1569.49,1742,1356,7,2378911,12553
simplexitor,1654.4,1723,569,-19,3397217,9286
dummyette,1658.77,1662,3052,9,4018966,2772
sargon-2ply,1444.44,1616,3714,3,4727382,8590
davidsguterbot,1477.87,1585,644,3,3081821,4255
turochamp-1ply,1396.63,1536,1804,6,3576806,4034
humaia,1350.86,1517,2318,7,6403087,3871
sargon-1ply,1185.26,1496,9803,-12,8887501,8434
pawnrobot,1269.49,1470,675,-11,2526072,971
bobandi,871.52,1409,805,26,1419774,995
